Project Name,Sector,Donor,Date of Agreement,Completion Date,Commitments (USD),Disbursements (USD)
Enhancing Capacities for Climate Change Adaptation and Disaster Risk Management for Sustainable Livelihoods in the Agriculture Sector,AGRICULTURE,United Nations Development Programme,40111,40786,252555,233560
Development of Standards and Scheme for Good Agriculture Practice (GAP) Implementation and Certification in countries of SAARC,AGRICULTURE,Food and Agriculture Organization,41674,42429,120000,120649
Support to the National Integrated Pest Management Programme in Nepal,AGRICULTURE,Food and Agriculture Organization,39748,41908,3400000,3063358
Women’s Leadership and Participation - (Core-00089586),WOMEN CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 42005,42369,36989,36989, -
Violence against Women (VAW) - (Core-00089556),WOMEN CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 41640,42735,84573,84573, -
Organization Efficiency and Effectiveness- (Core-00082145),WOMEN CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 41275,43100,705870,954369, -
National Planning & Budgeting - (Core - 82144),PLANNING & STATISTICS,United Nations Entity for Gender Equality and the Empowerment of Women 41275,43100,205161,205161, -
Economic Empowerment- (Core-00082045),ECONOMIC REFORM,United Nations Entity for Gender Equality and the Empowerment of Women 41275, -,182721,106709, -
Peace and Security - (Core - 82099),PEACE AND RECONSTRUCTION,United Nations Entity for Gender Equality and the Empowerment of Women 41275,42369,74273,74273, -
Institutional Budget Nepal Country Office - (00081663),POLICY AND STRATEGIC,United Nations Entity for Gender Equality and the Empowerment of Women 40909, -,4191834,4738546, -
Humanitarian Response UN Women- (Core-00095289),HEALTH,United Nations Entity for Gender Equality and the Empowerment of Women 42128,42735,300000,300000, -
Humanitarian Response Funds- (Non Core-00095590),HOME AFFAIRS,United Nations Entity for Gender Equality and the Empowerment of Women 42125,43830,130449,162324, -
Nepal Office Security Budget - 00086113,WOMEN CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 41358,44561,190874,190874, -
United Nations Trust Fund (UNTF) on EVAW 2015-2017 - (00092708),Women  CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 41974,43465,481156,506706, -
Extra budgetary Funds- (00087032),OTHERS - SOCIAL,United Nations Entity for Gender Equality and the Empowerment of Women 41640, -,60823,60823, -
UNTF-Kick Against Violence - 00097018,WOMEN CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 42339,43465,72321,94631, -
ED Special Project - (Core - 95347-HQ project),EDUCATION,United Nations Entity for Gender Equality and the Empowerment of Women 42370,42735,13265,13265, -
Outcome 1.1 - The new Constitution of Nepal incorporates principles of substantive equality and non-discrimination in line with CEDAW - (Core 97920),WOMEN CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 42370,43100,18000,77088, -
Outcome 5.2- Mechanisms and institutions in place to increase the accountability of Government of Nepal to monitor GE commitments - (Core-97938),WOMEN CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 42370,43100,33200,43200, -
Outcome 2.1 - Policies to advance women’s economic empowerment and sustainable development are developed and implemented - (Core-98368),EDUCATION,United Nations Entity for Gender Equality and the Empowerment of Women 42370,43465,51305,53322, -
Outcome 5.1 - Mechanisms and institutions in place to increase the accountability of Government of Nepal to implement GE commitments - (Core - 98378),WOMEN CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 42370,43100,108911,108911, -
Technical support to justice sector actors on women's rigths and gender equality [ROLHR - 00098378),WOMEN CHILDREN & SOCIAL WELFARE,United Nations Development Programme,42644,43100,150000,150000
Nepal Country Office SN and AWP 2014-2017- Outcome Area 2 (Women  especially the poorest and most excluded  are economically empowered and benefit from development) and Outcome Area 4(Peace and security actions are shaped by women)[Finland Project-94480],LABOUR,Finland,42008,43130,4817200,4744549
The Future We Want: Creating Sustainable Foundations for Addressing Human Trafficking and Unsafe Migration of Women and Girls in Nepal [ZONTA-00098368),OTHERS - ECONOMIC,United Nations Entity for Gender Equality and the Empowerment of Women 42662,43756,1000000,1000000, -
Nepal Country Office Strategic Note and Annual Work Plan 2014-2017- Outcome Area 4 (Peace and security and humanitarian actions) [Denmark Project-00096994],POLICE,Denmark,42673,42947,709019,709019
Humanitarian Response Fund Nepal (Korea-00097299),POLICY AND STRATEGIC,South Korea,42338,42735,200000,200000
Accelerating Progress toward the Economic Empowerment of Rural Women in Nepal: A Joint Pilot Contributing to the Implementation of the Agricultural Development Strategy- (95044) [SIDA/RWEE Project-00095044],ECONOMIC AFFAIRS,United Nations Entity for Gender Equality and the Empowerment of Women 42217,44002,803730,815900, -
Nepal Country Office Strategic Note and Annual Work Plan 2014-2017, Outcome area 3 and Outcome 5 [Denmark Project - 00090401],ECONOMIC AFFAIRS,42067,42490,402130,402130
Multi-partner trust fund on accelerating progress towards the economic empowerment of rural women (RWEE)and Women’s Empowerment Project (SNWCP) [Norway/RWEE Project-00092412],ECONOMIC AFFAIRS,41913,42369,135000,135000, -
Localizing Women Peace and Security Agenda in Central Terai district of Nepal [00093348],PLANNING & STATISTICS,United Nations Peace Fund,41992,42658,377710,377710
Strengthening Implementation of the Women  Peace and Security Agenda in Nepal: Towards Implementation of the National Action Plan on UNSCRs 1325 and 1820 - [Finland/SWIPSAN - 00085979],PEACE AND RECONSTRUCTION Finland,41044,42735,1652574,1652574, -
Empowering Adolescent Girls and Young Women Through the Provision of Comprehensive Sexuality Education and a Safe Learning Environment in Nepal - [UNESCO Project/98368],Women  CHILDREN & SOCIAL WELFARE,United Nations Educational Scientific and Cultural Organization,42733,43830,540000,540000
Support to UN Women Nepal Country Office Annual Work Plan 2017 (Outcome area 2, 4 and 5): Advancing Resilience and Empowerment [ARE Project] - 00103966,PEACE AND RECONSTRUCTION,42732,43100,428410,428410
Outcome 3.1 - Provide technical support to MoWCSW and MOHA on the integrated crime against women database in close collaboration with the UN agencies (Core 97871),Women  CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 42370,43100,22783,22783, -
Enhancing Access to Justice for Women in Asia and the Pacific (A2J-APRO)-108723,Women  CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 43528,44196,516000,516000, -
Outcome 2.1_SN2018-2022 - 108709-CORE,Women  CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 43101,44926,311784,265025, -
Outcome1.1._SN 2018-2022-CORE/00108723,Women  CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 43101,44926,805675,805675, -
A57846 - Improving the quality of clinical management of HIV and AIDS cases by documenting and experience sharing among doctors providing ART services,HEALTH,Joint United Nations Programme on HIV/AIDS,40563,40908,22000,8885
“Linking high risk and especially vulnerable adolescents with PMTCT”,HEALTH,United Nations Children's Fund,40502,40908,48086,48086
Providing HIV and AIDS education for illiterate women through community learning centres (CLCs),HEALTH,Joint United Nations Programme on HIV/AIDS,40502,40908,45181,45181
Leadership and resource mobilization for a broadbased HIV response at country regional and global levels are strengthened.,HEALTH,Joint United Nations Programme on HIV/AIDS, -,40908,65000,30686
Strategic information strengthened and available to support knowing your epidemic  guiding an evidence informed response and improving accountability.,HEALTH,Joint United Nations Programme on HIV/AIDS, -,40908,129551,79662
Human resources and systems of government and civil society enhanced to develop  implement and scale up evidence informed comprehensive HIV responses.,HEALTH,Joint United Nations Programme on HIV/AIDS, -,40908,115000,87689
Increased coverage and sustainability of programmes including to address the vulnerability of and impact on women and girls young people children populations affected by humanitarian crisis and mobile populations.,HEALTH,Joint United Nations Programme on HIV/AIDS, -,40908,12000,10000
To enhance national capacities for scaling- up HIV prevention treatment care and support.,HEALTH,Joint United Nations Programme on HIV/AIDS, -,40908,28000,17410
Support critical activities emerging from unforseen oppertunity.,HEALTH,Joint United Nations Programme on HIV/AIDS, -,40908,20000,14621
Progressive actions are taken toward HIV and AIDS related policy development in one or more key policy areas.,HEALTH,Joint United Nations Programme on HIV/AIDS, -,40908,27658,10771
Crisis Prevention and Recovery Support to Nepal,PEACE AND RECONSTRUCTION,United Nations Development Programme,39598,41639,4502076,4167645
526 RAS 4014.1.1 (Culture) : Korean FIT South Asian Silk Roads,YOUTH SPORTS & CULTURE,United Nations Educational Scientific and Cultural Organization, -, -,29595,24047
Sida Project Phase 3,YOUTH  SPORTS & CULTURE,United Nations Educational Scientific and Cultural Organization,43465,43830,26749,12877
536 NEP 4003 - Recovery and rehabilitation of cultural heritage in the Hanumandhoka (Kathmandu) Durbar Square of the Kathmandu Valley World Heritage Site,YOUTH  SPORTS & CULTURE,United Nations Educational Scientific and Cultural Organization, -, -,128317,88540
Recovery and Rehabilitation of Cultural Heritage in the Kathmandu Valley Nepal,EARTHQUAKE RECONSTRUCTION,United Nations Educational Scientific and Cultural Organization,42447,43830,884897,407291
Integrating SDG 4 : Policy Reviews and Monitoring Frameworks,EDUCATION,United Nations Educational Scientific and Cultural Organization,42774,43830,47194,21478
CapED Literacy Project,EDUCATION,United Nations Educational Scientific and Cultural Organization,43101,43830,377272,144429
499GLO1000.4 (ED) Malala Project II - Improving the quality and relevance of education in a post-earthquake situation for adolescent girls and young women in Nepal,EDUCATION,United Nations Educational Scientific and Cultural Organization, -, -,138641,67326
KOICA Project-Empowering Adolescent Girls and Young Women through the Provision of Comprehensive Sexuality Education and a Safe Learning Environment in Nepal,EDUCATION,Korea International Cooperation Agency,42522,44371,3042088,2099841
8240113041KAT (CLT) Support national capacity building and improving monitoring system for effective implementation of the 1972 World Heritage Convention  in particular  to help recover Nepal's cultural heritage damaged by 2015 earthquakes,TOURISM,United Nations Educational Scientific and Cultural Organization, -, -,25000,23928
8240213111KAT (CLT) Supporting national efforts for strengthening institutional capacities in inventorying and safearding intangible cultural heritage of Nepal,TOURISM,United Nations Educational Scientific and Cultural Organization, -, -,27300,22189
8240213112KAT (CLT) Supporting national efforts for strengthening institutional capacities in inventorying and safeguarding intangible cultural heritage of Nepal,TOURISM,United Nations Educational Scientific and Cultural Organization, -, -,22000,21845
